1.000000000000000000e+00	4.078995644660814435e-01	3.991922835151295312e-01	3.873928251079968854e-01	4.022904948040810780e-01
2.000000000000000000e+00	1.618026451480739925e-01	1.605837799802934118e-01	1.560157757773664999e-01	1.454221883242765578e-01
3.000000000000000000e+00	9.488806095391531803e-02	9.485317544768231968e-02	8.946075996949995335e-02	7.800036546223027001e-02
4.000000000000000000e+00	6.298054275651403244e-02	6.271919735173292487e-02	5.884591111837797484e-02	5.069596720373717447e-02
5.000000000000000000e+00	4.517955502160295872e-02	4.500995806418682521e-02	4.294483214933506737e-02	3.640718848317289064e-02
6.000000000000000000e+00	3.430220243820279041e-02	3.437777168170108588e-02	3.337606831076625480e-02	2.832530905392953088e-02
7.000000000000000000e+00	2.674083359085720896e-02	2.673484978023362574e-02	2.609940695668389737e-02	2.282549972987567288e-02
8.000000000000000000e+00	2.144220408172708980e-02	2.160020371283868923e-02	2.114235331690147643e-02	1.901992563638091327e-02
9.000000000000000000e+00	1.760307038103141319e-02	1.810165713505445043e-02	1.778213107464454018e-02	1.632066927257126016e-02
1.000000000000000000e+01	1.483569966099411788e-02	1.508409920421594982e-02	1.514621321748532701e-02	1.453705469221718352e-02
1.100000000000000000e+01	1.253013610000952918e-02	1.281816291860459964e-02	1.309248939138563800e-02	1.294212985031932377e-02
1.200000000000000000e+01	1.054401809265537865e-02	1.095571583043116089e-02	1.129242490690239922e-02	1.087845997394087764e-02
1.300000000000000000e+01	9.054429587139731922e-03	9.448782090000192382e-03	1.009289127335456955e-02	9.899259541742070137e-03
1.400000000000000000e+01	8.006972246431369455e-03	8.170656248116293235e-03	8.949896167757410981e-03	9.057107445895645065e-03
1.500000000000000000e+01	7.039376294130597449e-03	7.334154253428068308e-03	7.915393913092590855e-03	8.234817427781428514e-03
1.600000000000000000e+01	5.962983667767308288e-03	6.443525659083562326e-03	7.133022931721280137e-03	7.521768837194462050e-03
1.700000000000000000e+01	5.409741006045107152e-03	5.593492014481282748e-03	6.332315130474069735e-03	6.729271935678598181e-03
1.800000000000000000e+01	4.800942595865454951e-03	5.038694368004244944e-03	5.747064962768576313e-03	6.622016715924558018e-03
1.900000000000000000e+01	4.276635219798173571e-03	4.563856471019469771e-03	5.397137316803667269e-03	5.722264594654667864e-03
2.000000000000000000e+01	3.642373758242172573e-03	4.060725124214351750e-03	4.535306782636821035e-03	5.370705818794242400e-03
2.100000000000000000e+01	3.560197546982182392e-03	3.641243976878057783e-03	4.246501869591548690e-03	4.997298757428367266e-03
2.200000000000000000e+01	3.063668045143639988e-03	3.400134578409104869e-03	3.974505708099177956e-03	4.512664060762019980e-03
2.300000000000000000e+01	2.715287205858316327e-03	3.191009079737054926e-03	3.711677956544754461e-03	4.320001906759414478e-03
2.400000000000000000e+01	2.503480914864253566e-03	2.712480732775712257e-03	3.322020534182082863e-03	4.077684558426242570e-03
2.500000000000000000e+01	2.251165223953295862e-03	2.441847734494238462e-03	3.014878801260930784e-03	3.745987860298051215e-03
2.600000000000000000e+01	2.097229504269085189e-03	2.322523185251951748e-03	2.979733229832142068e-03	3.487780849779099305e-03
