0.000000000000000000e+00	6.100691358024691313e-01	6.100691358024691313e-01
1.000000000000000000e+00	-1.199530864197531077e-01	-1.259308641975308563e-01
2.000000000000000000e+00	1.320024691358024915e-01	1.461802469135802518e-01
3.000000000000000000e+00	-1.027975308641975172e-01	-1.113975308641975137e-01
4.000000000000000000e+00	9.586913580246914091e-02	1.130469135802468772e-01
5.000000000000000000e+00	-8.693086419753087712e-02	-9.655308641975307582e-02
6.000000000000000000e+00	8.104691358024690429e-02	8.295802469135804547e-02
7.000000000000000000e+00	-8.130864197530862647e-02	-8.317530864197530960e-02
8.000000000000000000e+00	6.740246913580250077e-02	6.691358024691357320e-02
9.000000000000000000e+00	-6.890864197530860435e-02	-7.070864197530862816e-02
1.000000000000000000e+01	6.258024691358021752e-02	5.953580246913581231e-02
1.100000000000000000e+01	-6.475308641975308088e-02	-5.984197530864199255e-02
1.200000000000000000e+01	5.798024691358028004e-02	4.853580246913580254e-02
1.300000000000000000e+01	-5.948641975308643914e-02	-5.477530864197532878e-02
1.400000000000000000e+01	5.522469135802471341e-02	4.644691358024688466e-02
